Day,Time,Section,Course,Instructor
Sunday,9:00 AM - 10:30 AM,S1_L1,LRA101 (Lecture),Dr. Sherine Elmotasem
Sunday,9:00 AM - 10:30 AM,S2_L1,LRA101 (Lecture),Dr. Sherine Elmotasem
Sunday,10:45 AM - 12:15 PM,S4_L1,LRA101 (Lecture),Dr. Sherine Elmotasem
Sunday,10:45 AM - 12:15 PM,S3_L1,LRA101 (Lecture),Dr. Sherine Elmotasem
Sunday,12:30 PM - 2:00 PM,S6_L1,LRA101 (Lecture),Dr. Sherine Elmotasem
Sunday,12:30 PM - 2:00 PM,S5_L1,LRA101 (Lecture),Dr. Sherine Elmotasem
Sunday,2:15 PM - 3:45 PM,S8_L1,LRA101 (Lecture),Dr. Sherine Elmotasem
Sunday,2:15 PM - 3:45 PM,S7_L1,LRA101 (Lecture),Dr. Sherine Elmotasem
Tuesday,9:00 AM - 10:30 AM,S9_L1,LRA101 (Lecture),Dr. Sherine Elmotasem
Tuesday,9:00 AM - 10:30 AM,S10_L1,LRA101 (Lecture),Dr. Sherine Elmotasem
Tuesday,10:45 AM - 12:15 PM,S12_L1,LRA101 (Lecture),Dr. Sherine Elmotasem
Tuesday,10:45 AM - 12:15 PM,S11_L1,LRA101 (Lecture),Dr. Sherine Elmotasem
Sunday,10:45 AM - 12:15 PM,S1_L1,LRA103 (Lecture),Dr. Amal Gomaa
Sunday,10:45 AM - 12:15 PM,S2_L1,LRA103 (Lecture),Dr. Amal Gomaa
Sunday,9:00 AM - 10:30 AM,S4_L1,LRA103 (Lecture),Dr. Amal Gomaa
Sunday,9:00 AM - 10:30 AM,S3_L1,LRA103 (Lecture),Dr. Amal Gomaa
Sunday,2:15 PM - 3:45 PM,S6_L1,LRA103 (Lecture),Dr. Amal Gomaa
Sunday,2:15 PM - 3:45 PM,S5_L1,LRA103 (Lecture),Dr. Amal Gomaa
Sunday,12:30 PM - 2:00 PM,S8_L1,LRA103 (Lecture),Dr. Amal Gomaa
Sunday,12:30 PM - 2:00 PM,S7_L1,LRA103 (Lecture),Dr. Amal Gomaa
Monday,9:00 AM - 10:30 AM,S9_L1,LRA103 (Lecture),Dr. Amal Gomaa
Monday,9:00 AM - 10:30 AM,S10_L1,LRA103 (Lecture),Dr. Amal Gomaa
Monday,10:45 AM - 12:15 PM,S12_L1,LRA103 (Lecture),Dr. Amal Gomaa
Monday,10:45 AM - 12:15 PM,S11_L1,LRA103 (Lecture),Dr. Amal Gomaa
Sunday,12:30 PM - 2:00 PM,S1_L1,PHY113 (Lecture),Dr. Adel Fathy
Sunday,12:30 PM - 2:00 PM,S2_L1,PHY113 (Lecture),Dr. Adel Fathy
Sunday,2:15 PM - 3:45 PM,S4_L1,PHY113 (Lecture),Dr. Adel Fathy
Sunday,2:15 PM - 3:45 PM,S3_L1,PHY113 (Lecture),Dr. Adel Fathy
Sunday,9:00 AM - 10:30 AM,S6_L1,PHY113 (Lecture),Dr. Adel Fathy
Sunday,9:00 AM - 10:30 AM,S5_L1,PHY113 (Lecture),Dr. Adel Fathy
Sunday,10:45 AM - 12:15 PM,S8_L1,PHY113 (Lecture),Dr. Adel Fathy
Sunday,10:45 AM - 12:15 PM,S7_L1,PHY113 (Lecture),Dr. Adel Fathy
Monday,10:45 AM - 12:15 PM,S9_L1,PHY113 (Lecture),Dr. Adel Fathy
Monday,10:45 AM - 12:15 PM,S10_L1,PHY113 (Lecture),Dr. Adel Fathy
Monday,9:00 AM - 10:30 AM,S12_L1,PHY113 (Lecture),Dr. Adel Fathy
Monday,9:00 AM - 10:30 AM,S11_L1,PHY113 (Lecture),Dr. Adel Fathy
Monday,9:00 AM - 10:30 AM,S1_L2,ACM215 (Lecture),Dr. Ayman Arafa
Monday,9:00 AM - 10:30 AM,S2_L2,ACM215 (Lecture),Dr. Ayman Arafa
Monday,10:45 AM - 12:15 PM,S3_L2,ACM215 (Lecture),Dr. Ayman Arafa
Monday,10:45 AM - 12:15 PM,S4_L2,ACM215 (Lecture),Dr. Ayman Arafa
Monday,12:30 PM - 2:00 PM,S6_L2,ACM215 (Lecture),Dr. Ayman Arafa
Monday,12:30 PM - 2:00 PM,S5_L2,ACM215 (Lecture),Dr. Ayman Arafa
Monday,2:15 PM - 3:45 PM,S7_L2,ACM215 (Lecture),Dr. Ayman Arafa
Monday,2:15 PM - 3:45 PM,S8_L2,ACM215 (Lecture),Dr. Ayman Arafa
Tuesday,9:00 AM - 10:30 AM,S9_L2,ACM215 (Lecture),Dr. Ayman Arafa
Sunday,9:00 AM - 10:30 AM,S1_L2,CSC211 (Lecture),Dr. Ahmed Arafa
Sunday,9:00 AM - 10:30 AM,S2_L2,CSC211 (Lecture),Dr. Ahmed Arafa
Sunday,10:45 AM - 12:15 PM,S3_L2,CSC211 (Lecture),Dr. Ahmed Arafa
Sunday,10:45 AM - 12:15 PM,S4_L2,CSC211 (Lecture),Dr. Ahmed Arafa
Sunday,12:30 PM - 2:00 PM,S6_L2,CSC211 (Lecture),Dr. Ahmed Arafa
Sunday,12:30 PM - 2:00 PM,S5_L2,CSC211 (Lecture),Dr. Ahmed Arafa
Sunday,2:15 PM - 3:45 PM,S7_L2,CSC211 (Lecture),Dr. Ahmed Arafa
Sunday,2:15 PM - 3:45 PM,S8_L2,CSC211 (Lecture),Dr. Ahmed Arafa
Monday,9:00 AM - 10:30 AM,S9_L2,CSC211 (Lecture),Dr. Ahmed Arafa
Sunday,10:45 AM - 12:15 PM,S1_L2,CNC111 (Lecture),Dr. Nadia Fawzy
Sunday,10:45 AM - 12:15 PM,S2_L2,CNC111 (Lecture),Dr. Nadia Fawzy
Sunday,9:00 AM - 10:30 AM,S3_L2,CNC111 (Lecture),Dr. Nadia Fawzy
Sunday,9:00 AM - 10:30 AM,S4_L2,CNC111 (Lecture),Dr. Nadia Fawzy
Sunday,2:15 PM - 3:45 PM,S6_L2,CNC111 (Lecture),Dr. Nadia Fawzy
Sunday,2:15 PM - 3:45 PM,S5_L2,CNC111 (Lecture),Dr. Nadia Fawzy
